,dom,cod,dom_correlation,cod_correlation,dom_p,cod_p
0,踊り,女性,0.5763539780776888,0.7999999999999999,0.10428982565430112,0.00962792472537983
1,踊り,スカート,0.3,-0.20083857810137354,0.4328453267094823,0.6043593545214949
2,踊り,夜,0.3,0.8833333333333333,0.4328453267094823,0.0015905004234978686
3,踊り,音楽,0.016666666666666666,-0.6680672268907564,0.9660548039946861,0.04921361285173152
4,踊り,回る,0.16666666666666669,0.2761530448893886,0.668231040071504,0.47196179260238624
5,踊り,揺れる,0.2833333333333333,0.3666666666666667,0.46003032896571994,0.33173980143301507
6,踊り,舞台,0.11666666666666665,-0.1924703040138163,0.7650079429261462,0.6198061390079386
7,女性,踊り,0.8499999999999999,0.5333333333333333,0.0037047773275858133,0.13922686754397814
8,女性,スカート,0.7333333333333334,0.10041928905068677,0.02455415007146968,0.7971388092372127
9,女性,夜,0.65,0.5857791861290061,0.05807305801714863,0.09743391135780573
10,女性,音楽,0.2833333333333333,-0.6359888306543495,0.46003032896571994,0.0655947574629728
11,女性,回る,0.050209644525343385,0.2845213189769458,0.8979283954703233,0.4580688437057311
12,女性,揺れる,0.6166666666666666,0.3,0.07692880993776309,0.4328453267094823
13,女性,舞台,0.31666666666666665,-0.21666666666666667,0.4063970144863861,0.5755148957119259
14,スカート,踊り,0.03333333333333333,0.2833333333333333,0.932156735540504,0.46003032896571994
15,スカート,女性,0.08333333333333334,0.7333333333333334,0.831214097710308,0.02455415007146968
16,スカート,夜,0.06666666666666667,0.7,0.8646897846262037,0.03576957497026169
17,スカート,音楽,-0.35,-0.7016806722689077,0.35581957250178897,0.035137264248113365
18,スカート,回る,0.049999999999999996,0.24267994853915967,0.8983528043506301,0.5292413110551777
19,スカート,揺れる,-0.16666666666666669,0.15,0.668231040071504,0.7000942309691419
20,スカート,舞台,0.1338923854009157,-0.45,0.731278765094574,0.22421610749233659
21,夜,踊り,0.8666666666666667,0.3,0.0024953982859902053,0.4328453267094823
22,夜,女性,0.6,0.65,0.0876228290414024,0.05807305801714863
23,夜,スカート,0.75,-0.25,0.019942126131992522,0.5164895523012263
24,夜,音楽,0.5666666666666667,-0.679330941746919,0.11163298761149111,0.04415557225808051
25,夜,回る,0.728039845617479,0.2761530448893886,0.026153620753162264,0.47196179260238624
26,夜,揺れる,0.7666666666666667,0.12552411131335847,0.01594401657897401,0.747618228942804
27,夜,舞台,0.6833333333333333,-0.2833333333333333,0.04244227208707231,0.46003032896571994
28,音楽,踊り,-0.652725378829464,0.2333333333333333,0.056676692165527655,0.5456987782182727
29,音楽,女性,-0.652725378829464,0.31666666666666665,0.056676692165527655,0.4063970144863861
30,音楽,スカート,-0.7113032974423645,-0.35,0.03165655703330231,0.35581957250178897
31,音楽,夜,-0.7113032974423645,0.6166666666666666,0.03165655703330231,0.07692880993776309
32,音楽,回る,-0.6861984751796929,0.108787563138244,0.04124246780258141,0.7805538526280621
33,音楽,揺れる,-0.6861984751796929,-0.09205101496312953,0.04124246780258141,0.813794310413029
34,音楽,舞台,-0.652725378829464,-0.3,0.056676692165527655,0.4328453267094823
35,回る,踊り,0.2761530448893886,0.16666666666666669,0.47196179260238624,0.668231040071504
36,回る,女性,0.34309923758984645,-0.06666666666666667,0.36602924302380374,0.8646897846262037
37,回る,スカート,0.24267994853915967,-0.13333333333333333,0.5292413110551777,0.7323675052362975
38,回る,夜,0.2761530448893886,0.5499999999999999,0.47196179260238624,0.12497678418833198
39,回る,音楽,0.12552411131335847,-0.6861984751796929,0.747618228942804,0.04124246780258141
40,回る,揺れる,0.31799441532717476,-0.08333333333333334,0.4043225359679229,0.831214097710308
41,回る,舞台,0.12552411131335847,-0.3,0.747618228942804,0.4328453267094823
42,揺れる,踊り,0.18333333333333335,0.35,0.6368198117628943,0.35581957250178897
43,揺れる,女性,0.3849406080276326,0.6666666666666667,0.30629853528662443,0.04986723056888511
44,揺れる,スカート,0.18333333333333335,0.09999999999999999,0.6368198117628943,0.797971695234851
45,揺れる,夜,0.09999999999999999,0.7833333333333333,0.797971695234851,0.012519873019449882
46,揺れる,音楽,-0.15,-0.7029350233548074,0.7000942309691419,0.03467010659432654
47,揺れる,回る,-0.050209644525343385,0.30125786715206027,0.8979283954703233,0.43082315771331503
48,揺れる,舞台,0.016666666666666666,-0.45,0.9660548039946861,0.22421610749233659
49,舞台,踊り,-0.21666666666666667,0.09999999999999999,0.5755148957119259,0.797971695234851
50,舞台,女性,-0.3,0.43333333333333335,0.4328453267094823,0.2439524358800516
51,舞台,スカート,-0.2333333333333333,0.07531446678801507,0.5456987782182727,0.8472940220818164
52,舞台,夜,-0.3666666666666667,0.6333333333333333,0.33173980143301507,0.06708578689234565
53,舞台,音楽,-0.09999999999999999,-0.6778302010921357,0.797971695234851,0.04480926269300501
54,舞台,回る,-0.4666666666666666,0.15899720766358738,0.20538635110581185,0.6828398157150526
55,舞台,揺れる,-0.35,-0.11666666666666665,0.35581957250178897,0.7650079429261462
