,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しい,儚い,羽,NA
0,"('踊り', '女性')",踊り,223,28,408,14,65,88,33,99,42
1,"('踊り', '女性')",女性,95,39,125,285,27,148,87,152,42
2,"('踊り', 'スカート')",踊り,208,39,353,20,65,56,37,86,136
3,"('踊り', 'スカート')",スカート,78,135,56,219,86,128,77,85,136
4,"('踊り', '夜')",踊り,233,46,379,11,46,83,19,69,114
5,"('踊り', '夜')",夜,97,84,34,33,331,97,163,47,114
6,"('踊り', '音楽')",踊り,202,37,269,23,33,55,19,70,292
7,"('踊り', '音楽')",音楽,54,29,105,142,30,239,109,0,292
8,"('踊り', '回る')",踊り,128,48,318,19,67,82,58,106,174
9,"('踊り', '回る')",回る,154,319,44,19,53,66,130,41,174
10,"('踊り', '揺れる')",踊り,148,50,368,39,73,63,42,128,89
11,"('踊り', '揺れる')",揺れる,81,186,13,108,75,136,295,17,89
12,"('踊り', '舞台')",踊り,127,32,300,21,48,50,30,109,283
13,"('踊り', '舞台')",舞台,140,76,49,65,104,129,128,26,283
14,"('女性', '踊り')",女性,97,38,124,271,30,178,69,152,41
15,"('女性', '踊り')",踊り,211,45,376,21,64,95,38,109,41
16,"('女性', 'スカート')",女性,89,34,129,268,26,133,58,140,123
17,"('女性', 'スカート')",スカート,103,171,55,151,102,160,58,77,123
18,"('女性', '夜')",女性,71,25,128,305,21,120,82,156,92
19,"('女性', '夜')",夜,101,129,46,70,240,93,163,66,92
20,"('女性', '音楽')",女性,63,36,93,227,18,87,37,116,323
21,"('女性', '音楽')",音楽,53,39,82,119,31,225,128,0,323
22,"('女性', '回る')",女性,33,12,94,537,8,14,15,130,157
23,"('女性', '回る')",回る,171,403,28,35,45,43,86,32,157
24,"('女性', '揺れる')",女性,59,25,128,408,16,82,49,178,55
25,"('女性', '揺れる')",揺れる,112,225,10,74,94,85,331,14,55
26,"('女性', '舞台')",女性,57,24,103,320,17,48,35,124,272
27,"('女性', '舞台')",舞台,178,81,54,66,107,116,116,10,272
28,"('スカート', '踊り')",スカート,61,122,41,220,76,150,86,96,148
29,"('スカート', '踊り')",踊り,198,40,337,22,51,68,31,105,148
30,"('スカート', '女性')",スカート,104,153,52,163,98,171,59,70,130
31,"('スカート', '女性')",女性,72,24,148,274,23,154,54,121,130
32,"('スカート', '夜')",スカート,74,93,43,245,69,109,66,99,202
33,"('スカート', '夜')",夜,77,112,34,82,229,63,132,69,202
34,"('スカート', '音楽')",スカート,77,97,41,150,94,50,24,74,393
35,"('スカート', '音楽')",音楽,45,28,64,167,30,160,113,0,393
36,"('スカート', '回る')",スカート,50,53,43,215,66,146,55,110,262
37,"('スカート', '回る')",回る,119,305,43,23,57,63,99,29,262
38,"('スカート', '揺れる')",スカート,62,101,59,241,86,149,47,85,170
39,"('スカート', '揺れる')",揺れる,83,162,13,82,73,141,264,12,170
40,"('スカート', '舞台')",スカート,60,57,27,208,93,74,38,96,347
41,"('スカート', '舞台')",舞台,129,79,52,80,72,112,108,21,347
42,"('夜', '踊り')",夜,90,94,48,43,317,83,151,53,121
43,"('夜', '踊り')",踊り,227,35,386,17,56,61,23,74,121
44,"('夜', '女性')",夜,113,131,36,76,257,76,157,58,96
45,"('夜', '女性')",女性,63,29,134,317,19,142,60,140,96
46,"('夜', 'スカート')",夜,78,94,42,90,264,46,130,56,200
47,"('夜', 'スカート')",スカート,62,99,39,244,71,125,72,88,200
48,"('夜', '音楽')",夜,90,107,18,49,212,28,98,62,336
49,"('夜', '音楽')",音楽,34,30,72,166,35,194,133,0,336
50,"('夜', '回る')",夜,47,86,37,102,196,76,118,111,227
51,"('夜', '回る')",回る,131,297,40,27,47,75,127,29,227
52,"('夜', '揺れる')",夜,60,136,43,68,263,71,136,92,131
53,"('夜', '揺れる')",揺れる,80,183,14,79,67,149,287,10,131
54,"('夜', '舞台')",夜,39,95,32,68,180,58,104,78,346
55,"('夜', '舞台')",舞台,128,74,59,61,63,129,120,20,346
56,"('音楽', '踊り')",音楽,59,17,85,150,31,204,111,0,343
57,"('音楽', '踊り')",踊り,197,17,257,19,32,53,23,59,343
58,"('音楽', '女性')",音楽,67,31,89,132,31,226,123,0,301
59,"('音楽', '女性')",女性,70,16,106,233,24,116,22,112,301
60,"('音楽', 'スカート')",音楽,44,32,80,174,27,153,115,0,375
61,"('音楽', 'スカート')",スカート,64,94,33,159,102,71,19,83,375
62,"('音楽', '夜')",音楽,39,25,65,178,26,204,112,0,351
63,"('音楽', '夜')",夜,85,105,33,64,187,35,82,58,351
64,"('音楽', '回る')",音楽,29,20,69,240,20,123,95,0,404
65,"('音楽', '回る')",回る,92,247,27,27,91,25,49,38,404
66,"('音楽', '揺れる')",音楽,33,23,82,260,33,137,88,0,344
67,"('音楽', '揺れる')",揺れる,72,257,10,58,90,40,117,12,344
68,"('音楽', '舞台')",音楽,27,22,57,137,33,164,83,0,477
69,"('音楽', '舞台')",舞台,123,56,43,41,69,79,91,21,477
70,"('回る', '踊り')",回る,142,357,42,24,44,70,115,38,168
71,"('回る', '踊り')",踊り,130,39,325,24,67,99,39,109,168
72,"('回る', '女性')",回る,151,429,17,18,51,51,101,29,153
73,"('回る', '女性')",女性,21,13,96,538,14,9,9,147,153
74,"('回る', 'スカート')",回る,113,305,44,26,49,72,111,42,238
75,"('回る', 'スカート')",スカート,46,62,52,205,75,162,60,100,238
76,"('回る', '夜')",回る,133,306,38,36,49,67,115,44,212
77,"('回る', '夜')",夜,56,80,54,108,205,77,125,83,212
78,"('回る', '音楽')",回る,106,269,22,28,73,26,50,45,381
79,"('回る', '音楽')",音楽,25,19,72,236,20,129,118,0,381
80,"('回る', '揺れる')",回る,160,348,33,15,66,78,67,29,204
81,"('回る', '揺れる')",揺れる,75,122,15,48,84,220,221,11,204
82,"('回る', '舞台')",回る,86,281,44,28,53,56,79,26,347
83,"('回る', '舞台')",舞台,112,52,65,68,79,134,123,20,347
84,"('揺れる', '踊り')",揺れる,69,226,16,99,66,128,280,15,101
85,"('揺れる', '踊り')",踊り,132,56,379,31,80,52,47,122,101
86,"('揺れる', '女性')",揺れる,126,215,8,83,104,82,301,15,66
87,"('揺れる', '女性')",女性,68,28,121,408,6,104,63,136,66
88,"('揺れる', 'スカート')",揺れる,88,182,9,76,87,119,269,11,159
89,"('揺れる', 'スカート')",スカート,68,108,57,237,100,139,61,71,159
90,"('揺れる', '夜')",揺れる,84,191,13,65,70,149,266,20,142
91,"('揺れる', '夜')",夜,60,113,51,63,258,82,127,104,142
92,"('揺れる', '音楽')",揺れる,86,214,8,76,83,57,109,18,349
93,"('揺れる', '音楽')",音楽,41,23,73,270,31,123,90,0,349
94,"('揺れる', '回る')",揺れる,95,141,12,58,71,202,219,2,200
95,"('揺れる', '回る')",回る,143,330,34,13,65,88,94,33,200
96,"('揺れる', '舞台')",揺れる,76,152,13,88,68,86,193,33,291
97,"('揺れる', '舞台')",舞台,128,97,50,85,94,118,115,22,291
98,"('舞台', '踊り')",舞台,137,83,49,69,110,141,128,21,262
99,"('舞台', '踊り')",踊り,129,43,290,25,62,60,24,105,262
100,"('舞台', '女性')",舞台,186,87,54,70,92,112,109,21,269
101,"('舞台', '女性')",女性,58,28,91,320,13,68,30,123,269
102,"('舞台', 'スカート')",舞台,125,84,45,73,79,102,114,20,358
103,"('舞台', 'スカート')",スカート,52,81,40,191,73,87,33,85,358
104,"('舞台', '夜')",舞台,138,63,53,61,74,130,117,29,335
105,"('舞台', '夜')",夜,51,105,37,67,173,60,90,82,335
106,"('舞台', '音楽')",舞台,125,65,43,38,63,84,85,21,476
107,"('舞台', '音楽')",音楽,37,18,60,134,27,157,91,0,476
108,"('舞台', '回る')",舞台,81,41,63,71,89,133,120,17,385
109,"('舞台', '回る')",回る,88,252,29,16,56,63,70,41,385
110,"('舞台', '揺れる')",舞台,105,67,68,87,95,114,120,26,318
111,"('舞台', '揺れる')",揺れる,57,182,18,73,87,76,177,12,318
